1153211	601021	
613605	601021	
1139873	601021	
827068	601021	
416767	98665	
777011	98665	
169433	601021	
1017721	601021	
41358	98665	
174868	98665	
798004	98665	
966930	98665	
248057	187358	
1452382	98665	
823466	98665	
799696	246611	
826085	98665	
804193	601021	
1452337	601021	
1355284	98665	
1355284	187358	
1112510	601021	
114116	187358	
1466750	820820	
116544	820820	
419778	10312	
878567	820820	
1413415	820820	
871149	187358	
1336528	601021	
682653	820820	
1035410	98665	
748943	601021	
136630	601021	
768666	10312	
193005	601021	
906987	98665	
808732	187358	
915687	601021	
1145328	820820	
523047	601021	
203604	98665	
945178	601021	
1105987	10312	
935840	98665	
968394	98665	
502506	187358	
127477	1078744	
610031	187358	
610031	98665	
792049	601021	
39703	187358	
39703	98665	
287940	601021	
698228	10312	
575612	601021	
657818	98665	
1403948	601021	
1053661	601021	
744966	820820	
387768	601021	
851748	601021	
721039	601021	
682511	601021	
1078518	1050736	
850395	601021	
215091	601021	
993394	601021	
643240	601021	
1068676	601021	
883957	10312	
925313	10312	
1195652	10312	
139669	601021	
385725	1050736	
901885	601021	
1451494	820820	
910686	820820	
190093	601021	
797777	601021	
232585	98665	
202222	601021	
923156	601021	
399527	98665	
1037236	10312	
770365	187358	
1377752	601021	
829295	98665	
76558	601021	
1265019	98665	
1306038	187358	
693517	1050736	
391652	601021	
1227550	187358	
32653	187358	
287519	10312	
1252078	10312	
736170	10312	
538008	1050736	
1393997	820820	
1370259	601021	
1037362	1078744	
1365380	187358	
751584	601021	
867121	820820	
1375579	187358	
1339357	187358	
590853	1078744	
272391	1050736	
1312929	10312	
854284	601021	
158521	601021	
240507	820820	
142215	1078744	
1428555	820820	
193877	1078744	
825104	1050736	
588062	1078744	
1441116	820820	
1318376	1050736	
786537	187358	
533035	1050736	
861	601021	
869878	820820	
869878	300527	
10718	601021	
888262	187358	
1315661	98665	
1390346	98665	
817063	98665	
916075	1078744	
665484	1078744	
1361580	1050736	
1067513	1025947	
1066947	187358	
774066	187358	
774066	246611	
192461	187358	
313505	601021	
963804	187358	
283562	187358	
300832	187358	
1349903	820820	
902742	187358	
739049	601021	
407171	601021	
1083319	820820	
1272505	98665	
1272505	741664	
168266	300053	
